"code","labels","SBI1","SBI2","SBI3","SBI4"
"01.11","Teelt van granen, peulvruchten en oliehoudende zaden","A","01","1","1"
"01.13","Teelt van groenten en wortel- en knolgewassen","A","01","1","3"
"01.16","Teelt van vezelgewassen","A","01","1","6"
"01.19","Teelt van overige eenjarige gewassen","A","01","1","9"
"01.21","Druiventeelt","A","01","2","1"
"01.24","Teelt van pit- en steenvruchten","A","01","2","4"
"01.25","Teelt van overige boomvruchten, kleinfruit en noten","A","01","2","5"
"01.27","Teelt van gewassen bestemd voor de vervaardiging van dranken","A","01","2","7"
"01.28","Teelt van specerijgewassen en van aromatische en medicinale gewassen","A","01","2","8"
"01.29","Teelt van overige  meerjarige gewassen","A","01","2","9"
"01.30","Teelt van sierplanten","A","01","3","0"
"01.41","Fokken en houden van melkvee","A","01","4","1"
"01.42","Fokken en houden van runderen (geen melkvee)","A","01","4","2"
"01.43","Fokken en houden van paarden en ezels","A","01","4","3"
"01.45","Fokken en houden van schapen en geiten","A","01","4","5"
"01.46","Fokken en houden van varkens","A","01","4","6"
"01.47","Fokken en houden van pluimvee","A","01","4","7"
"01.49","Fokken en houden van overige dieren","A","01","4","9"
"01.50","Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ","A","01","5","0"
"01.61","Dienstverlening voor de akker- en/of tuinbouw ","A","01","6","1"
"01.62","Dienstverlening voor het fokken en houden van dieren ","A","01","6","2"
"01.63","Behandeling van  gewassen na de oogst","A","01","6","3"
"01.64","Behandeling van zaden voor vermeerdering","A","01","6","4"
"01.70","Jacht","A","01","7","0"
"02.10","Bosbouw","A","02","1","0"
"02.20","Exploitatie van bossen","A","02","2","0"
"02.40","Dienstverlening voor de bosbouw","A","02","4","0"
"03.11","Zee- en kustvisserij","A","03","1","1"
"03.12","Binnenvisserij","A","03","1","2"
"03.21","Kweken van zeevis en -schaaldieren","A","03","2","1"
"03.22","Kweken van zoetwatervis en -schaaldieren","A","03","2","2"
"06.10","Winning van aardolie","B","06","1","0"
"06.20","Winning van aardgas","B","06","2","0"
"08.12","Winning van zand, grind en klei","B","08","1","2"
"08.92","Winning van turf ","B","08","9","2"
"08.93","Winning van zout","B","08","9","3"
"08.99","Winning van overige delfstoffen n.e.g.","B","08","9","9"
"09.10","Dienstverlening voor de winning van aardolie en aardgas","B","09","1","0"
"09.90","Dienstverlening voor de winning van delfstoffen (geen olie en gas)","B","09","9","0"
"10.11","Slachterijen (geen pluimvee-)","C","10","1","1"
"10.12","Pluimveeslachterijen","C","10","1","2"
"10.13","Vleesverwerking (niet tot maaltijden)","C","10","1","3"
"10.20","Visverwerking","C","10","2","0"
"10.31","Vervaardiging van aardappelproducten","C","10","3","1"
"10.32","Vervaardiging van fruit- en groentesap","C","10","3","2"
"10.39","Verwerking van groente en fruit (niet tot sap en maaltijden)","C","10","3","9"
"10.41","Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten)","C","10","4","1"
"10.42","Vervaardiging van margarine en overige spijsvetten","C","10","4","2"
"10.51","Vervaardiging van zuivelproducten (geen consumptie-ijs)","C","10","5","1"
"10.52","Vervaardiging van consumptie-ijs","C","10","5","2"
"10.61","Vervaardiging van meel (geen zetmeel)","C","10","6","1"
"10.62","Vervaardiging van zetmeel en zetmeelproducten","C","10","6","2"
"10.71","Vervaardiging van brood en vers banketbakkerswerk","C","10","7","1"
"10.72","Vervaardiging van beschuit en koekjes en ander houdbaar banketbakkerswerk","C","10","7","2"
"10.73","Vervaardiging van deegwaren","C","10","7","3"
"10.81","Vervaardiging van suiker","C","10","8","1"
"10.82","Verwerking van cacao en vervaardiging van chocolade en suikerwerk","C","10","8","2"
"10.82.1","Verwerking van cacao","C","10","8","2"
"10.82.2","Vervaardiging van chocolade en suikerwerk","C","10","8","2"
"10.83","Verwerking van koffie en thee","C","10","8","3"
"10.84","Vervaardiging van specerijen, sauzen en kruiderijen; zoutraffinage","C","10","8","4"
"10.85","Vervaardiging van kant-en-klaarmaaltijden en snacks","C","10","8","5"
"10.86","Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding","C","10","8","6"
"10.89","Vervaardiging van overige voedingsmiddelen n.e.g.","C","10","8","9"
"10.91","Vervaardiging van veevoeders","C","10","9","1"
"10.92","Vervaardiging van voeders voor huisdieren","C","10","9","2"
"11.01","Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen","C","11","0","1"
"11.02","Vervaardiging van wijn uit druiven","C","11","0","2"
"11.03","Vervaardiging van cider en van overige vruchtenwijnen","C","11","0","3"
"11.04","Vervaardiging van overige niet-gedistilleerde gegiste dranken","C","11","0","4"
"11.05","Vervaardiging van bier","C","11","0","5"
"11.06","Mouterijen","C","11","0","6"
"11.07","Vervaardiging van frisdranken; productie van mineraalwater en overig gebotteld water","C","11","0","7"
"12.00","Vervaardiging van tabaksproducten","C","12","0","0"
"13.10","Bewerken en spinnen van textielvezels","C","13","1","0"
"13.20","Weven van textiel","C","13","2","0"
"13.30","Textielveredeling","C","13","3","0"
"13.91","Vervaardiging van gebreide en gehaakte stoffen","C","13","9","1"
"13.92","Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding)","C","13","9","2"
"13.93","Vervaardiging van vloerkleden en tapijt","C","13","9","3"
"13.94","Vervaardiging van koord, bindgaren, touw en netten","C","13","9","4"
"13.95","Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding)","C","13","9","5"
"13.96","Vervaardiging van technisch en industrieel textiel","C","13","9","6"
"13.99","Vervaardiging van overige  textielproducten n.e.g.","C","13","9","9"
"14.11","Vervaardiging van kleding van leer","C","14","1","1"
"14.12","Vervaardiging van werkkleding","C","14","1","2"
"14.13","Vervaardiging van overige  bovenkleding","C","14","1","3"
"14.14","Vervaardiging van onderkleding","C","14","1","4"
"14.19","Vervaardiging van baby- en sportkleding en kledingaccessoires","C","14","1","9"
"14.20","Vervaardiging van artikelen van bont","C","14","2","0"
"14.31","Vervaardiging van gebreide en gehaakte kousen en sokken","C","14","3","1"
"14.39","Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken)","C","14","3","9"
"15.11","Looien en bewerken van leer; bereiden en verven van bont","C","15","1","1"
"15.12","Vervaardiging van koffers, tassen e.d. en van zadel- en tuigmakerswerk","C","15","1","2"
"15.20","Vervaardiging van schoenen","C","15","2","0"
"16.10","Primaire houtbewerking en verduurzamen van hout","C","16","1","0"
"16.10.1","Zagen en schaven en overige primaire houtbewerking","C","16","1","0"
"16.10.2","Verduurzamen van hout","C","16","1","0"
"16.21","Vervaardiging van fineer en plaatmateriaal op basis van hout","C","16","2","1"
"16.22","Vervaardiging van panelen voor parketvloeren","C","16","2","2"
"16.23","Vervaardiging van overig  timmerwerk voor de bouw ","C","16","2","3"
"16.23.1","Vervaardiging van deuren, ramen en kozijnen van hout","C","16","2","3"
"16.23.9","Vervaardiging van overig timmerwerk voor de bouw (geen deuren, ramen en kozijnen)","C","16","2","3"
"16.24","Vervaardiging van houten emballage","C","16","2","4"
